# RaceRender Data
Time,Latitude,Longitude,Altitude,MPH,Heading,X,Y,GPS_Update,Accuracy
4.116,32.9857288,-89.7895856,10.0,32.3,43.5,-0.986,-1.523,1,3.0
4.217,32.9857236,-89.7895817,10.0,23.6,147.1,-1.001,1.521,1,3.0
4.317,32.9857254,-89.7895760,10.0,19.6,69.0,-0.979,-1.387,1,3.0
4.418,32.9857145,-89.7895719,10.0,44.3,162.3,0.981,1.534,1,3.0
4.518,32.9857105,-89.7895704,10.0,16.2,162.9,-1.022,0.106,1,3.0
4.618,32.9857019,-89.7895599,10.0,47.6,134.2,1.023,-1.513,1,3.0
4.719,32.9857005,-89.7895595,10.0,5.6,167.8,-1.009,1.516,1,3.0
4.819,32.9856923,-89.7895561,10.0,33.5,160.7,0.920,-1.498,1,3.0
4.920,32.9856888,-89.7895485,10.0,28.2,118.6,-1.040,-1.546,1,3.0
5.020,32.9856805,-89.7895357,10.0,52.3,127.7,0.982,1.580,1,3.0
5.120,32.9856768,-89.7895302,10.0,22.8,129.5,-1.029,0.257,1,3.0
5.221,32.9856730,-89.7895291,10.0,15.0,165.0,-1.014,1.516,1,3.0
5.321,32.9856796,-89.7895179,10.0,44.2,54.9,1.029,-1.457,1,3.0
5.422,32.9856754,-89.7895197,10.0,17.5,200.0,-0.974,1.475,1,3.0
5.522,32.9856757,-89.7895129,10.0,22.3,87.1,0.993,-1.486,1,3.0
5.622,32.9856760,-89.7895086,10.0,13.9,85.2,-1.024,-0.169,1,3.0
5.723,32.9856783,-89.7895004,10.0,27.9,71.2,0.989,-1.531,1,3.0
5.823,32.9856832,-89.7894966,10.0,22.7,33.4,-0.997,-1.516,1,3.0
5.924,32.9856844,-89.7894973,10.0,5.2,333.5,-0.992,-1.579,1,3.0
6.024,32.9856866,-89.7894902,10.0,24.4,69.1,0.968,1.591,1,3.0
6.124,32.9856973,-89.7894799,10.0,53.2,39.1,1.070,-1.509,1,3.0
6.225,32.9856988,-89.7894750,10.0,16.8,70.3,-1.025,1.470,1,3.0
6.325,32.9857064,-89.7894773,10.0,30.2,345.9,1.010,-1.548,1,3.0
6.426,32.9857079,-89.7894740,10.0,11.9,61.5,-0.998,1.491,1,3.0
6.526,32.9857151,-89.7894617,10.0,48.7,55.1,1.001,-1.456,1,3.0
6.627,32.9857160,-89.7894606,10.0,5.0,46.7,-1.019,-0.372,1,3.0
6.727,32.9857212,-89.7894524,10.0,33.3,52.9,0.938,1.468,1,3.0
6.827,32.9857253,-89.7894473,10.0,23.1,45.6,-1.004,-1.363,1,3.0
6.928,32.9857212,-89.7894459,10.0,16.6,164.0,-1.010,1.479,1,3.0
7.028,32.9857250,-89.7894366,10.0,33.2,64.1,0.972,-1.580,1,3.0
7.129,32.9857219,-89.7894304,10.0,23.3,120.1,-1.017,1.559,1,3.0
7.229,32.9857286,-89.7894207,10.0,40.6,50.7,1.030,-1.577,1,3.0
7.329,32.9857232,-89.7894281,10.0,31.6,228.9,-0.999,1.517,1,3.0
7.430,32.9857235,-89.7894197,10.0,27.2,87.8,-0.998,-1.407,1,3.0
7.530,32.9857122,-89.7894085,10.0,56.7,140.1,0.973,1.483,1,3.0
7.631,32.9857057,-89.7894102,10.0,25.6,192.9,-1.016,1.549,1,3.0
7.731,32.9857062,-89.7893992,10.0,35.6,86.9,0.977,-1.475,1,3.0
7.831,32.9856993,-89.7893918,10.0,36.1,138.2,0.161,1.417,1,3.0
7.932,32.9856977,-89.7893891,10.0,10.6,124.2,-0.983,-1.198,1,3.0
8.032,32.9856871,-89.7893855,10.0,42.5,164.1,1.003,1.575,1,3.0
8.133,32.9856832,-89.7893802,10.0,23.1,131.7,-1.042,-1.566,1,3.0
8.233,32.9856797,-89.7893714,10.0,31.5,114.8,0.984,-1.462,1,3.0
8.333,32.9856775,-89.7893720,10.0,9.0,193.5,-1.058,1.603,1,3.0
8.434,32.9856765,-89.7893615,10.0,34.2,96.4,1.007,-1.596,1,3.0
8.534,32.9856729,-89.7893577,10.0,18.5,138.0,-0.986,1.496,1,3.0
8.635,32.9856745,-89.7893500,10.0,25.8,75.8,0.981,-1.530,1,3.0
8.735,32.9856761,-89.7893514,10.0,7.7,322.5,-1.015,-1.477,1,3.0
8.835,32.9856739,-89.7893457,10.0,20.7,115.0,1.001,1.590,1,3.0
8.936,32.9856751,-89.7893385,10.0,23.7,78.8,1.001,-1.472,1,3.0
9.036,32.9856830,-89.7893348,10.0,32.9,21.0,0.979,-1.542,1,3.0
9.137,32.9856818,-89.7893229,10.0,38.9,97.0,1.000,1.538,1,3.0
9.237,32.9856958,-89.7893245,10.0,54.3,354.5,1.025,-1.364,1,3.0
9.337,32.9857025,-89.7893194,10.0,30.7,32.3,-1.039,1.492,1,3.0
9.438,32.9857042,-89.7893149,10.0,16.0,65.7,-0.942,1.467,1,3.0
9.538,32.9857074,-89.7893144,10.0,12.7,8.2,-0.949,-1.494,1,3.0
9.639,32.9857154,-89.7893094,10.0,34.7,27.4,0.968,1.408,1,3.0
9.739,32.9857166,-89.7892897,10.0,64.3,85.9,1.015,1.596,1,3.0
9.839,32.9857192,-89.7892832,10.0,23.1,64.0,-0.972,-1.478,1,3.0
9.940,32.9857237,-89.7892863,10.0,19.9,330.5,-1.057,-1.444,1,3.0
10.040,32.9857310,-89.7892802,10.0,34.3,34.9,0.986,1.525,1,3.0
10.141,32.9857236,-89.7892791,10.0,28.8,173.0,-1.009,1.547,1,3.0
10.241,32.9857281,-89.7892700,10.0,34.3,59.4,0.993,-1.415,1,3.0
10.341,32.9857248,-89.7892656,10.0,19.3,132.4,-1.038,1.449,1,3.0
10.442,32.9857227,-89.7892631,10.0,11.5,135.0,-1.038,0.230,1,3.0
10.542,32.9857210,-89.7892529,10.0,33.7,100.8,1.028,-1.503,1,3.0
10.643,32.9857154,-89.7892484,10.0,26.1,146.0,-1.013,1.494,1,3.0
10.743,32.9857096,-89.7892388,10.0,38.2,125.7,0.966,-1.438,1,3.0
10.843,32.9857095,-89.7892407,10.0,6.1,266.6,-0.971,1.488,1,3.0
10.944,32.9857070,-89.7892346,10.0,22.1,116.5,1.016,-1.517,1,3.0
11.044,32.9857005,-89.7892270,10.0,35.2,135.6,0.961,1.525,1,3.0
11.145,32.9856882,-89.7892263,10.0,47.6,177.5,1.014,1.549,1,3.0
11.245,32.9856837,-89.7892184,10.0,31.1,123.9,-1.010,-1.453,1,3.0
11.345,32.9856787,-89.7892146,10.0,22.8,147.1,-1.022,1.512,1,3.0
11.446,32.9856793,-89.7892057,10.0,28.7,85.2,0.971,-1.435,1,3.0
11.546,32.9856749,-89.7892012,10.0,22.6,139.3,-1.004,1.510,1,3.0
11.647,32.9856702,-89.7891973,10.0,22.1,145.7,-0.220,1.084,1,3.0
11.747,32.9856701,-89.7891929,10.0,14.4,91.6,-0.985,-1.487,1,3.0
11.847,32.9856708,-89.7891893,10.0,12.0,76.4,-1.001,-1.448,1,3.0
11.948,32.9856805,-89.7891818,10.0,44.5,33.1,1.010,-1.434,1,3.0
12.048,32.9856802,-89.7891797,10.0,6.9,98.5,-0.977,1.410,1,3.0
12.149,32.9856841,-89.7891715,10.0,30.6,60.1,1.015,-1.460,1,3.0
12.249,32.9856825,-89.7891720,10.0,6.3,193.8,-1.012,1.485,1,3.0
12.349,32.9856920,-89.7891653,10.0,42.6,30.6,0.957,-1.539,1,3.0
12.450,32.9857001,-89.7891570,10.0,41.0,40.5,-0.755,1.547,1,3.0
12.550,32.9856985,-89.7891554,10.0,8.3,140.2,-1.000,1.490,1,3.0
12.651,32.9857119,-89.7891483,10.0,56.8,23.9,0.983,-1.498,1,3.0
12.751,32.9857128,-89.7891455,10.0,9.8,69.5,-0.968,1.476,1,3.0
12.851,32.9857169,-89.7891380,10.0,28.8,57.0,0.952,-1.502,1,3.0
12.952,32.9857240,-89.7891338,10.0,30.8,26.2,0.892,-1.561,1,3.0
13.052,32.9857191,-89.7891204,10.0,47.5,113.7,0.992,1.455,1,3.0
13.153,32.9857297,-89.7891206,10.0,40.9,358.9,-0.960,-1.554,1,3.0
13.253,32.9857255,-89.7891193,10.0,16.7,164.8,-0.991,1.512,1,3.0
13.353,32.9857258,-89.7891070,10.0,39.8,88.5,1.027,-1.523,1,3.0
13.454,32.9857258,-89.7891043,10.0,8.7,89.5,-0.996,0.033,1,3.0
13.554,32.9857196,-89.7891032,10.0,24.1,171.5,0.960,1.510,1,3.0
13.655,32.9857242,-89.7890970,10.0,26.6,48.6,1.028,-1.531,1,3.0
13.755,32.9857135,-89.7890877,10.0,51.1,143.9,0.996,1.477,1,3.0
13.855,32.9857141,-89.7890866,10.0,4.3,59.3,-1.019,-1.488,1,3.0
13.956,32.9857033,-89.7890782,10.0,49.7,146.7,1.011,1.578,1,3.0
14.056,32.9856949,-89.7890750,10.0,33.9,162.3,-0.977,1.528,1,3.0
14.157,32.9856944,-89.7890749,10.0,2.0,176.7,-1.017,0.226,1,3.0
14.257,32.9856912,-89.7890641,10.0,37.3,109.5,1.022,-1.451,1,3.0
14.357,32.9856904,-89.7890613,10.0,9.5,109.3,-0.964,0.013,1,3.0
14.458,32.9856788,-89.7890595,10.0,45.0,172.5,1.015,1.464,1,3.0
14.558,32.9856726,-89.7890517,10.0,35.1,133.7,-0.988,-1.523,1,3.0
14.659,32.9856741,-89.7890440,10.0,25.6,77.0,-1.010,-1.554,1,3.0
14.759,32.9856724,-89.7890358,10.0,27.3,103.9,0.769,1.490,1,3.0
14.859,32.9856740,-89.7890383,10.0,10.5,307.6,-0.985,-1.520,1,3.0
14.960,32.9856733,-89.7890276,10.0,35.0,94.3,1.031,1.468,1,3.0
15.060,32.9856751,-89.7890170,10.0,35.0,78.7,0.036,-1.546,1,3.0
15.161,32.9856765,-89.7890157,10.0,6.5,38.1,-0.993,-1.496,1,3.0
15.261,32.9856830,-89.7890112,10.0,29.3,30.1,1.029,-1.505,1,3.0
15.361,32.9856838,-89.7890071,10.0,13.5,77.6,-1.049,1.516,1,3.0
15.462,32.9856921,-89.7890030,10.0,34.7,22.6,1.024,-1.591,1,3.0
15.562,32.9856938,-89.7890011,10.0,9.0,42.6,-0.984,1.378,1,3.0
15.663,32.9857036,-89.7889893,10.0,53.8,45.4,0.971,1.196,1,3.0
15.763,32.9857119,-89.7889851,10.0,34.8,22.8,-0.965,-1.490,1,3.0
15.863,32.9857141,-89.7889813,10.0,15.1,55.9,-1.014,1.494,1,3.0
15.964,32.9857134,-89.7889714,10.0,31.9,94.3,1.012,1.403,1,3.0
16.064,32.9857241,-89.7889728,10.0,41.4,354.0,1.030,-1.506,1,3.0
16.165,32.9857186,-89.7889688,10.0,24.8,148.5,-1.003,1.485,1,3.0
16.265,32.9857264,-89.7889632,10.0,35.1,31.0,1.000,-1.540,1,3.0
16.365,32.9857243,-89.7889536,10.0,32.1,104.8,-1.001,1.440,1,3.0
16.466,32.9857233,-89.7889505,10.0,10.6,110.7,-1.024,0.530,1,3.0
16.566,32.9857280,-89.7889407,10.0,36.6,60.4,0.993,-1.503,1,3.0
16.667,32.9857270,-89.7889398,10.0,5.1,144.0,-0.999,1.507,1,3.0
16.767,32.9857216,-89.7889413,10.0,21.1,193.3,1.027,1.499,1,3.0
16.867,32.9857174,-89.7889319,10.0,34.5,118.0,1.039,-1.614,1,3.0
16.968,32.9857154,-89.7889278,10.0,15.3,121.1,-1.043,0.413,1,3.0
17.068,32.9857064,-89.7889246,10.0,36.4,163.2,1.029,1.525,1,3.0
17.169,32.9857012,-89.7889180,10.0,29.3,132.9,-0.998,-1.551,1,3.0
17.269,32.9856969,-89.7889179,10.0,16.6,179.7,-0.970,1.417,1,3.0
17.369,32.9856932,-89.7889045,10.0,45.9,108.2,0.928,-1.411,1,3.0
17.470,32.9856886,-89.7888983,10.0,26.8,131.3,-0.992,1.536,1,3.0
17.570,32.9856813,-89.7888947,10.0,30.5,157.6,1.020,1.470,1,3.0
17.671,32.9856776,-89.7888854,10.0,33.2,115.5,1.009,-1.515,1,3.0
17.771,32.9856746,-89.7888897,10.0,18.1,230.7,-0.988,1.497,1,3.0
17.871,32.9856742,-89.7888735,10.0,52.8,92.1,0.952,-1.478,1,3.0
17.972,32.9856705,-89.7888711,10.0,16.0,152.0,-0.979,1.511,1,3.0
18.072,32.9856746,-89.7888710,10.0,15.9,1.9,-0.054,-1.553,1,3.0
18.173,32.9856749,-89.7888719,10.0,3.1,287.1,-1.032,-1.437,1,3.0
18.273,32.9856735,-89.7888581,10.0,44.9,96.7,1.019,1.465,1,3.0
18.373,32.9856803,-89.7888554,10.0,27.6,18.3,-0.985,-1.469,1,3.0
18.474,32.9856832,-89.7888424,10.0,43.5,75.2,0.980,1.507,1,3.0
18.574,32.9856900,-89.7888420,10.0,26.5,2.8,-0.973,-1.536,1,3.0
18.675,32.9856985,-89.7888334,10.0,43.1,40.3,1.030,1.500,1,3.0
18.775,32.9857002,-89.7888330,10.0,6.7,12.7,-0.930,-1.533,1,3.0
18.876,32.9857055,-89.7888241,10.0,35.0,54.9,0.972,1.568,1,3.0
18.976,32.9857126,-89.7888226,10.0,28.1,10.1,-0.941,-1.444,1,3.0
19.076,32.9857173,-89.7888181,10.0,23.2,39.2,-1.025,1.438,1,3.0
19.177,32.9857249,-89.7888089,10.0,41.8,45.6,1.011,1.619,1,3.0
19.277,32.9857282,-89.7888002,10.0,30.8,65.3,-0.980,1.537,1,3.0
19.378,32.9857228,-89.7888116,10.0,42.2,240.7,0.972,1.529,1,3.0
19.478,32.9857275,-89.7888000,10.0,41.6,64.6,-0.324,-1.552,1,3.0
19.578,32.9857241,-89.7887905,10.0,33.4,112.9,-1.045,1.534,1,3.0
19.679,32.9857231,-89.7887847,10.0,19.2,102.0,-0.965,-1.517,1,3.0
19.779,32.9857138,-89.7887811,10.0,37.7,161.9,0.954,1.507,1,3.0
19.880,32.9857203,-89.7887724,10.0,37.6,48.1,-0.054,-1.566,1,3.0
19.980,32.9857130,-89.7887699,10.0,29.3,164.1,-1.040,1.441,1,3.0
20.080,32.9857088,-89.7887651,10.0,22.6,136.4,-0.953,-1.464,1,3.0
20.181,32.9857032,-89.7887617,10.0,24.1,152.3,0.693,1.416,1,3.0
20.281,32.9857039,-89.7887555,10.0,20.2,82.7,-1.039,-1.520,1,3.0
20.382,32.9856896,-89.7887489,10.0,59.1,159.0,0.986,1.529,1,3.0
20.482,32.9856928,-89.7887533,10.0,18.6,310.9,-0.990,1.506,1,3.0
20.582,32.9856851,-89.7887388,10.0,55.4,122.1,1.005,1.552,1,3.0
20.683,32.9856801,-89.7887293,10.0,36.3,122.2,-0.964,0.079,1,3.0
20.783,32.9856801,-89.7887302,10.0,3.0,268.0,-1.005,1.496,1,3.0
20.884,32.9856785,-89.7887267,10.0,13.0,119.1,0.935,-1.533,1,3.0
20.984,32.9856772,-89.7887183,10.0,27.6,100.6,0.933,-1.537,1,3.0
21.084,32.9856713,-89.7887107,10.0,33.4,132.4,0.937,1.412,1,3.0
21.185,32.9856756,-89.7887098,10.0,16.7,10.0,-0.946,-1.528,1,3.0
21.285,32.9856693,-89.7887003,10.0,39.3,128.3,1.004,1.527,1,3.0
21.386,32.9856737,-89.7886973,10.0,19.6,29.0,-0.982,-1.486,1,3.0
21.486,32.9856782,-89.7886890,10.0,32.0,57.5,1.009,1.483,1,3.0
21.586,32.9856882,-89.7886797,10.0,48.8,37.9,1.025,-1.539,1,3.0
21.687,32.9856904,-89.7886777,10.0,10.6,37.2,-1.039,-0.001,1,3.0
21.787,32.9856930,-89.7886778,10.0,10.4,359.1,-0.056,-1.508,1,3.0
21.888,32.9857038,-89.7886708,10.0,47.3,28.8,0.974,1.468,1,3.0
21.988,32.9857064,-89.7886679,10.0,13.7,42.6,-1.023,1.518,1,3.0
22.088,32.9857144,-89.7886646,10.0,32.6,19.1,0.937,-1.411,1,3.0
22.189,32.9857180,-89.7886519,10.0,43.5,71.5,0.993,1.436,1,3.0
22.289,32.9857187,-89.7886441,10.0,25.4,83.6,-0.956,1.414,1,3.0
22.390,32.9857224,-89.7886468,10.0,17.0,328.0,-0.959,-1.463,1,3.0
22.490,32.9857265,-89.7886444,10.0,17.6,26.4,0.229,1.519,1,3.0
22.590,32.9857284,-89.7886339,10.0,34.9,78.2,1.012,1.568,1,3.0
22.691,32.9857272,-89.7886285,10.0,17.9,104.3,-1.016,1.500,1,3.0
22.791,32.9857273,-89.7886226,10.0,19.1,89.1,0.591,-1.537,1,3.0
22.892,32.9857241,-89.7886223,10.0,12.4,175.6,-1.004,1.423,1,3.0
22.992,32.9857196,-89.7886185,10.0,21.3,144.6,0.961,-1.593,1,3.0
23.092,32.9857178,-89.7886108,10.0,25.9,105.6,0.997,-1.445,1,3.0
23.193,32.9857121,-89.7886063,10.0,26.5,146.1,0.303,1.388,1,3.0
23.293,32.9857084,-89.7886021,10.0,19.5,136.7,-0.976,-1.408,1,3.0
23.394,32.9857026,-89.7885908,10.0,43.0,121.7,1.010,-1.412,1,3.0
23.494,32.9856986,-89.7885910,10.0,15.4,181.8,-0.987,1.501,1,3.0
23.594,32.9856914,-89.7885863,10.0,31.5,151.3,0.981,-1.561,1,3.0
23.695,32.9856860,-89.7885750,10.0,42.2,120.0,1.028,-1.484,1,3.0
23.795,32.9856847,-89.7885710,10.0,13.8,111.2,-1.047,-0.905,1,3.0
23.896,32.9856743,-89.7885658,10.0,43.7,157.0,1.018,1.533,1,3.0
23.996,32.9856746,-89.7885607,10.0,16.5,86.1,-1.017,-1.503,1,3.0
24.096,32.9856739,-89.7885543,10.0,20.9,96.6,0.980,1.532,1,3.0
24.197,32.9856709,-89.7885493,10.0,19.9,125.9,-0.495,1.488,1,3.0
24.297,32.9856694,-89.7885513,10.0,8.7,227.8,-0.984,1.503,1,3.0
24.398,32.9856747,-89.7885420,10.0,36.5,56.0,0.966,-1.586,1,3.0
24.498,32.9856813,-89.7885388,10.0,27.6,21.5,-0.984,-1.470,1,3.0
24.598,32.9856797,-89.7885330,10.0,20.1,108.2,-0.974,1.600,1,3.0
24.699,32.9856855,-89.7885295,10.0,25.0,26.4,0.945,-1.487,1,3.0
24.799,32.9856873,-89.7885229,10.0,22.4,72.5,-0.936,1.544,1,3.0
24.900,32.9856955,-89.7885159,10.0,38.9,35.6,1.020,-1.489,1,3.0
25.000,32.9856970,-89.7885077,10.0,27.2,77.5,-0.996,1.469,1,3.0
